7387,1299
7418,1498
7449,1505
7480,1342
7511,963
7543,507
7574,205
7605,136
7636,133
7667,212
7698,536
7729,949
7760,1326
7791,1501
7822,1508
7853,1339
7884,960
7915,532
7946,212
7977,136
8008,133
8039,200
8070,514
8101,951
8132,1332
8163,1517
8194,1525
8225,1420
8256,1080
8287,627
8318,269
8349,142
8380,133
8411,164
8442,416
8473,844
8504,1266
8535,1522
8566,1547
8597,1511
8628,1215
8659,790
8690,369
8721,153
8752,132
8783,138
8814,296
8845,672
8876,1116
8907,1460
8938,1550
8969,1548
9000,1373
9031,964
9062,533
9093,204
9124,133
9155,130
9186,182
9217,493
9248,919
9279,1330
9310,1539
9341,1550
9372,1515
9403,1225
9434,778
9465,364
9496,147
9527,131
9558,137
9589,303
9620,690
9651,1140
9682,1487
9713,1573
9744,1574
9775,1488
9806,1139
9837,674
9868,271
9899,136
9930,127
9961,142
9992,373
10023,779
10054,1244
10085,1542
10116,1583
10147,1579
10178,1403
10209,1012
10240,554
10271,207
10302,129
10333,127
10364,166
10395,460
10426,911
10457,1342
10488,1573
10519,1588
10550,1577
10581,1384
10612,954
10643,516
10674,185
10705,128
10736,126
10767,180
10798,495
10829,967
10860,1384
10891,1576
10922,1579
10953,1567
10984,1323
11015,907
11046,441
11077,157
11108,127
11139,128
11170,234
11201,595
11232,1073
11263,1449
11294,1583
11325,1587
11356,1575
11387,1330
11418,899
11449,436
11480,156
11511,127
11542,128
11573,235
11604,590
11635,1062
11666,1444
11697,1585
11728,1590
11759,1575
11790,1322
11821,872
11852,438
11883,154
11914,127
11945,129
11976,232
12007,608
12038,1077
12069,1464
12100,1585
12131,1583
12162,1561
12193,1286
12224,836
12255,405
12286,144
12317,125
12348,130
12379,240
12410,633
12441,1102
12472,1469
12503,1587
12534,1586
12565,1552
12596,1241
12627,790
12658,350
12689,138
12720,127
12751,133
12782,280
12813,690
12844,1169
12875,1524
12906,1593
12937,1590
12968,1531
12999,1198
13030,729
13061,321
13092,135
13123,129
13154,139
13185,331
13216,775
13247,1228
13278,1545
13309,1587
13340,1584
13371,1505
13402,1149
13433,672
13464,275
13495,133
13526,131
13557,148
13588,391
13619,822
13650,1281
13681,1559
13712,1585
13743,1582
13774,1451
13805,1051
13836,587
13867,219
13898,131
13929,133
13960,170
13991,470
14022,910
14053,1338
14084,1569
14115,1576
14146,1566
14177,1336
14208,912
14239,467
14270,160
14301,130
14332,137
14363,227
14394,595
14425,1067
14456,1463
14487,1588
14518,1579
14549,1531
14580,1214
14611,763
14642,338
14673,137
14704,131
14735,148
14766,354
14797,765
14828,1223
14859,1539
14890,1574
14921,1563
14952,1367
14983,944
15014,486
15045,169
15076,130
15107,137
15138,225
15169,584
15200,1037
15231,1431
15262,1578
15293,1574
15324,1464
15355,1090
15386,630
15417,251
15448,130
15479,134
15510,172
15541,447
15572,896
15603,1317
15634,1563
15665,1566
15696,1547
15727,1339
15758,917
15789,476
15820,170
15851,132
15882,143
15913,238
15944,597
15975,1028
16006,1418
16037,1554
16068,1540
16099,1347
16130,951
16161,506
16192,185
16223,133
16254,146
16285,247
16316,614
16347,1081
16378,1438
16409,1544
16440,1524
16471,1299
16502,895
16533,448
16564,164
16595,136
16626,151
16657,303
16688,683
16719,1123
16750,1465
16781,1543
16812,1483
16843,1173
16874,736
16905,342
16936,142
16967,141
16998,170
17029,397
17060,823
17091,1246
17122,1507
17153,871
17184,1295
17216,1553
17248,1541
17279,1547
17310,1321
17341,901
17372,463
17403,171
17434,139
