"time"	"An"	"PAR"	"ci"	"vc"	"vf"	"vj"	"poolT"	"poolR"	"poolG"	"gs"	"signal"	"pi"	"water"	"seq"
"10302.0"	"4.37748428992478"	"129.0"	"27.843328799322766"	"52.167768792236906"	"95.94888170176577"	"10.069316309544316"	"0.596073443819445"	"6.006156947253008"	"7.531209695658713"	"0.040335567200977966"	"0.7476319262606907"	"0.828256225527844"	"0.8067113440195592"	"0.2807230948619859"
"10333.0"	"4.325136420725359"	"127.0"	"28.004160130267078"	"44.96394908178345"	"95.93965511717542"	"9.976381379750773"	"0.5942034702184381"	"8.316108654258624"	"7.417590123511859"	"0.040438941593244154"	"0.68495238602598"	"0.8052434681202357"	"0.808778831864883"	"0.27854214947402317"
"10364.0"	"5.102576769215478"	"166.0"	"25.969849583398133"	"42.935261422523425"	"95.93566931975886"	"11.594842378896782"	"0.7279483561887347"	"18.77371384468243"	"9.112278609994057"	"0.04025442222217331"	"0.636329060372077"	"0.7757226262010286"	"0.8050884444434662"	"0.3210584440441603"
"10395.0"	"6.854405469493848"	"460.0"	"21.30754310744058"	"53.36326532068018"	"95.93874444228186"	"17.405115735145543"	"2.2020107174833083"	"151.93787314641713"	"14.280877504640134"	"0.03981049569831757"	"0.6370289505255585"	"0.7476316573591906"	"0.7962099139663513"	"0.6399366195066514"
"10426.0"	"7.4342680223432716"	"911.0"	"19.535161502515614"	"61.756118699897584"	"95.94300395861835"	"20.17493718256519"	"15.88438481875997"	"274.8174004943171"	"17.0915388748229"	"0.03923228127872339"	"0.7043513988777552"	"0.7325831674122878"	"0.7846456255744678"	"0.9840401383610129"
"10457.0"	"7.686763093030409"	"1342.0"	"18.606436073052713"	"67.0498639206601"	"95.94734405150761"	"21.27208765515713"	"47.21629412055782"	"290.173591864875"	"18.782786402373322"	"0.03870430759200669"	"0.7609216188755772"	"0.7330131318288771"	"0.7740861518401337"	"0.9959406045296322"
"10488.0"	"7.807034767772679"	"1573.0"	"18.096874031534067"	"70.17536126602225"	"95.95142553042592"	"21.635748263623725"	"46.25301188582601"	"287.5754396196875"	"19.775391267769603"	"0.03834263228200875"	"0.8067450813382067"	"0.7436217832902161"	"0.766852645640175"	"0.9971170414886152"
"10519.0"	"7.874975780267473"	"1588.0"	"17.834766335773523"	"71.93031152429816"	"95.95513187103062"	"21.656041429183055"	"39.67975245436406"	"284.7619408201434"	"20.332516563873575"	"0.03819372198698586"	"0.8436888366299098"	"0.7603832454942994"	"0.7638744397397171"	"0.9971703662269574"
"10550.0"	"7.930286106061635"	"1577.0"	"17.722499882105605"	"72.90408898702603"	"95.95848415308407"	"21.64119402618156"	"34.77789879713381"	"282.4941935329367"	"20.636492613722126"	"0.03826090058236675"	"0.8734577121033995"	"0.7804448172777941"	"0.7652180116473349"	"0.997131456312108"
"10581.0"	"7.982932108670907"	"1384.0"	"17.723208556558937"	"73.31283084045971"	"95.96140122151334"	"21.346294667120517"	"27.783745448989773"	"279.2764317287443"	"20.75727698917957"	"0.03852310025827534"	"0.8972745196425034"	"0.801822453003573"	"0.7704620051655068"	"0.9962206073468396"
"10612.0"	"8.02122335164388"	"954.0"	"17.84745294345006"	"73.06292427129907"	"95.9636004399428"	"20.322429410671518"	"13.627916160146576"	"265.9654062566809"	"20.659569613794634"	"0.03894650500522713"	"0.9147810304553619"	"0.8230086539957006"	"0.7789301001045426"	"0.9875112127622395"
"10643.0"	"7.965531161661939"	"516.0"	"18.2678211265202"	"71.34729290541893"	"95.96437614720458"	"17.94815382595892"	"2.862693570218961"	"180.8606327305684"	"19.973072706232244"	"0.03947482773352093"	"0.8860696726665461"	"0.838474074571706"	"0.7894965546704186"	"0.699907016287972"
"10674.0"	"5.404899185689403"	"185.0"	"25.108110213036795"	"61.45449239414587"	"95.95819805975307"	"12.257605817100622"	"0.7476680400267182"	"7.346990008320867"	"9.926880458444524"	"0.039987098065904086"	"0.8133394732970104"	"0.840292603878181"	"0.7997419613180817"	"0.3417613886531393"
"10705.0"	"4.3532809357741895"	"128.0"	"27.904865284781874"	"51.13623055466369"	"95.94778440375887"	"10.022999244243708"	"0.5933660305190213"	"6.196821860878192"	"7.48293070864939"	"0.04033500887890285"	"0.7420258331219379"	"0.8271991803569871"	"0.806700177578057"	"0.2796326301022041"
"10736.0"	"4.300041659630926"	"126.0"	"28.0638304906894"	"44.21311799426968"	"95.93857946295559"	"9.929459857112477"	"0.5915401331791317"	"8.562218298981199"	"7.36946068746865"	"0.0404232472028788"	"0.6799496646507651"	"0.8033319101216531"	"0.808464944057576"	"0.2774516530486016"
"10767.0"	"5.331776417653628"	"180.0"	"25.373408660357864"	"43.32892136270655"	"95.93573585626642"	"12.090023711349346"	"0.7764922537842349"	"23.801647913518227"	"9.668388815850767"	"0.04022047973481008"	"0.6340332323010309"	"0.7734767101345953"	"0.8044095946962015"	"0.3363139436304457"
"10798.0"	"6.910400908474134"	"495.0"	"21.14267856716038"	"54.02197052767805"	"95.93901569498472"	"17.755270257872734"	"2.4666540966839414"	"164.34345001586362"	"14.511295912650473"	"0.03976390669414582"	"0.6424616667825879"	"0.7462137669528615"	"0.7952781338829163"	"0.6774773008491021"
"10829.0"	"7.4609714107752545"	"967.0"	"19.44381128254767"	"62.240802559275984"	"95.94333647007836"	"20.364810737502395"	"20.678554994094664"	"280.9838856869208"	"17.250613629204224"	"0.0391881736387217"	"0.7095558334222005"	"0.7325248042155761"	"0.7837634727744339"	"0.9882961845743304"
"10860.0"	"7.6998625165224865"	"1384.0"	"18.5559452267268"	"67.3561139782778"	"95.94767613021357"	"21.346294667120517"	"48.671195912339634"	"290.1968549610912"	"18.87965279268415"	"0.03867374955412842"	"0.7651706813391117"	"0.7339146034361552"	"0.7734749910825682"	"0.9962206073468396"
"10891.0"	"7.814231141332247"	"1576.0"	"18.071131098133552"	"70.34825163494237"	"95.95172806909014"	"21.639834937010036"	"45.8027374525543"	"287.35630736291176"	"19.830231418219714"	"0.03833047718759555"	"0.8101718978356219"	"0.7451105258863915"	"0.766609543751911"	"0.997127866092685"
"10922.0"	"7.880261538315349"	"1579.0"	"17.824316523066177"	"72.02152255209894"	"95.95540111170972"	"21.64390751779383"	"39.077448420098484"	"284.53194212388047"	"20.361076052025226"	"0.038200690309078834"	"0.846444667311255"	"0.7621908451323929"	"0.7640138061815767"	"0.9971386099785302"
"10953.0"	"7.935551062820487"	"1567.0"	"17.721607091327567"	"72.94897503460592"	"95.95872260029779"	"21.627532345663244"	"34.28435696286435"	"282.2835202012648"	"20.64984537789609"	"0.0382853356665316"	"0.8756718491949168"	"0.782385280099303"	"0.7657067133306319"	"0.9970951464720103"
"10984.0"	"7.98639108042989"	"1323.0"	"17.734961809700586"	"73.28547790679453"	"95.96157190522852"	"21.237138415337988"	"26.16123396175863"	"278.463024242948"	"20.74770836784468"	"0.038562122221267474"	"0.8989774859740965"	"0.8037627832163458"	"0.7712424444253494"	"0.9957999327681263"
"11015.0"	"8.021845721698456"	"907.0"	"17.87216788205918"	"72.96705671597087"	"95.9636809784554"	"20.160614508978544"	"11.963909216588295"	"262.49248134050407"	"20.624827597792"	"0.03899642032076222"	"0.9153999094672784"	"0.8247834584123828"	"0.7799284064152443"	"0.9836262892037829"
"11046.0"	"7.907379748367937"	"441.0"	"18.44548048218279"	"70.55140865341201"	"95.96399675321639"	"17.198179565869232"	"2.143931695457835"	"149.83467798127907"	"19.637817730265215"	"0.03952704001360353"	"0.8758607861521301"	"0.8388542251237838"	"0.7905408002720705"	"0.6194915722205172"
"11077.0"	"4.950671609379611"	"157.0"	"26.28574260544383"	"59.14547387143697"	"95.95583439864292"	"11.254663967399964"	"0.6759727073420574"	"6.222617302483782"	"8.795336294409049"	"0.04002015297690867"	"0.8004176914940772"	"0.8382421491051473"	"0.8004030595381733"	"0.3112493627000298"
"11108.0"	"4.328185819399739"	"127.0"	"27.96744685587267"	"49.546595158700725"	"95.94562375808532"	"9.976381379750773"	"0.5909713741010896"	"6.56706206999046"	"7.433428070831379"	"0.04032982813324096"	"0.7306849438361953"	"0.8231215087042423"	"0.806596562664819"	"0.27854214947402317"
"11139.0"	"4.3447271085107655"	"128.0"	"27.93633462305414"	"43.31565374166279"	"95.93698981675405"	"10.022999244243708"	"0.5992548849003113"	"9.358666113874206"	"7.461816795806457"	"0.04037122575099874"	"0.6704155603499167"	"0.7979803249739664"	"0.8074245150199747"	"0.2796326301022041"
"11170.0"	"5.998812727057462"	"234.0"	"23.63326646088343"	"46.36744585117335"	"95.93704057608478"	"13.683780455585252"	"0.9744493604457689"	"47.23420794772862"	"11.445810223597901"	"0.04012443326800098"	"0.6336302733774516"	"0.7682591229182885"	"0.8024886653600195"	"0.3951167628422778"
"11201.0"	"7.103631278223631"	"595.0"	"20.591145338280413"	"56.602498707858196"	"95.94066322175384"	"18.57853762446703"	"3.2292835361923595"	"189.4050846357617"	"15.353763387033917"	"0.039648300834467784"	"0.6626591626783043"	"0.7442030458588725"	"0.7929660166893556"	"0.7832586604072004"
"11232.0"	"7.549783871794007"	"1073.0"	"19.166675342492255"	"63.86274396293064"	"95.94496859090748"	"20.677109161593464"	"27.247270750677792"	"285.2656469675239"	"17.7655885984778"	"0.03909840485213857"	"0.7266152114131526"	"0.7346613265004915"	"0.7819680970427714"	"0.9923183623057185"
"11263.0"	"7.746836317832942"	"1449.0"	"18.4126903007708"	"68.31238382572793"	"95.94919910339328"	"21.453508271362832"	"47.795700846546545"	"289.26322036354816"	"19.180742565090398"	"0.03863812405756545"	"0.7789912117891129"	"0.7387153130637759"	"0.772762481151309"	"0.9965854598130468"
"11294.0"	"7.844690750723613"	"1583.0"	"18.004520669265812"	"70.88664245824963"	"95.95311183137214"	"21.64931582928614"	"43.61998921419883"	"286.4616408130039"	"19.998705115184478"	"0.03835860523810718"	"0.8213159941591948"	"0.7514436032704629"	"0.7671721047621435"	"0.9971528111457373"
"11325.0"	"7.906570755544314"	"1587.0"	"17.80229731068829"	"72.32705378996027"	"95.95665926330022"	"21.654699387458024"	"37.63290642330071"	"283.83838817396065"	"20.454071827106308"	"0.03829078447066821"	"0.8554322189077715"	"0.7692622081465111"	"0.7658156894133641"	"0.997166872495205"
"11356.0"	"7.96253462101371"	"1575.0"	"17.72722135972421"	"73.12451069200466"	"95.95986700465545"	"21.6384742819981"	"33.345090955910656"	"281.7351635802369"	"20.70006620036572"	"0.038429422464507514"	"0.8829214063391332"	"0.7896553675829179"	"0.7685884492901502"	"0.9971242669046809"
"11387.0"	"8.015500484138045"	"1330.0"	"17.757929241867654"	"73.3898394401088"	"95.9626142512808"	"21.250118040606136"	"25.535331533390714"	"277.9119296307622"	"20.773903088636064"	"0.03874944196559061"	"0.9048308519177227"	"0.8108773141791622"	"0.7749888393118122"	"0.9958528715655289"
"11418.0"	"8.05188274052047"	"899.0"	"17.908390503746503"	"73.02131236014203"	"95.96461204312801"	"20.131645625276562"	"11.29666722150107"	"260.6007018114845"	"20.632414901364864"	"0.03921547915940929"	"0.9199453305860944"	"0.8315013110346824"	"0.7843095831881857"	"0.9827378996350945"
"11449.0"	"7.929799898592229"	"436.0"	"18.50800905396272"	"70.52567539403175"	"95.96480464928244"	"17.141560402904222"	"2.0594215685364503"	"144.2301671422185"	"19.60042803945413"	"0.039766555241203004"	"0.8790790751108555"	"0.8449907900137834"	"0.79533110482406"	"0.6141048188784218"
"11480.0"	"4.939464271233403"	"156.0"	"26.3910153921903"	"59.06138203986925"	"95.9564413825345"	"11.215736834731757"	"0.6732012052548074"	"6.1658696290909845"	"8.738679894400086"	"0.04026972119120923"	"0.8030603104190076"	"0.8437272960982649"	"0.8053944238241846"	"0.3101593729662008"
"11511.0"	"4.333398978387831"	"127.0"	"28.020691560467448"	"49.49136738715413"	"95.94614483198735"	"9.976381379750773"	"0.5909716410662846"	"6.56917919660696"	"7.42273376075215"	"0.040581108009411886"	"0.7329744573484145"	"0.8279944099324812"	"0.8116221601882376"	"0.27854214947402317"
